% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
0	1	3	1	7	3	2737	513026	2749	513178	0.000812775	0.00019998	0.00065357	0.003	186.678	688.887	7	9422	
0	1	5	2	2	3	3439	2253113	3454	2264618	0.000749969	8.07275e-05	0.000635713	0.00199285	655.651	255.205	13	1792	
0	1	2	3	15	3	2397	480914	2412	480149	0.000838469	0.000289191	0.00065357	0.003	199.067	887.778	3	9422	
0	1	5	4	10	3	2975	196091	3056	197624	0.000874809	0.000300471	0.00065357	0.00242143	64.6675	40.1608	3	289	
0	1	3	5	6	3	295	449997	1008	451107	0.000885071	0.000498787	0.00065357	0.003	447.527	1965.17	3	9422	
0	1	1	6	7	3	3021	313811	3041	314764	0.000793293	0.000223141	0.00065357	0.003	103.507	741.478	3	9422	
0	1	1	7	2	3	2370	856562	2382	849056	0.000828419	0.000350971	0.00065357	0.003	356.447	1359.64	7	9422	
0	1	1	8	10	3	212	1677874	212	1677874	0.003	0	0.003	0.003	7914.5	2004.96	5247	9422	
0	1	2	9	4	3	3468	347832	3480	348299	0.000781602	0.000125429	0.00065357	0.00183214	100.086	57.774	7	289	
0	1	2	10	16	3	434	694887	1127	713992	0.000951325	0.000577268	0.000671427	0.003	633.533	1795.24	7	9422	
0	1	1	11	11	3	1230	1330724	1233	1321405	0.000996957	0.000691425	0.00065357	0.003	1071.7	2821.65	3	9422	
0	1	2	12	13	3	1834	537694	1924	540440	0.000837943	0.000342526	0.00065357	0.003	280.894	1185.02	3	9422	
